inst_id,OC,sido,sgg,openDate,bedCount,instkind,revenue1,salescost1,sga1,salary1,noi1,noe1,interest1,ctax1,profit1,liquidAsset1,quickAsset1,receivableS1,inventoryAsset1,nonCAsset1,tanAsset1,OnonCAsset1,receivableL1,debt1,liquidLiabilities1,shortLoan1,NCLiabilities1,longLoan1,netAsset1,surplus1
18,open,gyeonggi,92,20080219,250,general_hospital,49669173562 ,8844036521 ,38845605937 ,22985012106 ,423613410 ,2034357679 ,1462729706 ,11840547 ,356946288 ,11434839492 ,11172140366 ,142664146 ,262699126 ,60683376120 ,59661914864 ,443318000 ,0 ,52901576100 ,24429396302 ,12141126926 ,28472179798 ,21888979343 ,19216639512 ,0 
19,open,jeonbuk,136,20130605,656,nursing_hospital,14819927146 ,0 ,14334987909 ,7603418730 ,272732334 ,310062763 ,276768409 ,252052728 ,195556080 ,3921154973 ,3921154973 ,674724910 ,0 ,15603076318 ,14932646145 ,343140000 ,0 ,12992587296 ,12987587296 ,12000000000 ,5000000 ,0 ,6531643995 ,0 
22,open,choongbuk,108,20080909,123,nursing_hospital,2998495883 ,138568532 ,2485503499 ,1398272118 ,75589 ,372743761 ,361970741 ,0 ,1755680 ,1268057892 ,1208023892 ,602250084 ,60034000 ,21905275891 ,21689996998 ,215278893 ,0 ,15217907306 ,12362778576 ,11155299923 ,2855128730 ,2363789509 ,7955426477 ,0 
25,open,incheon,140,20080924,143,hospital,66977875101 ,0 ,65577844107 ,27833843744 ,225875258 ,2446763579 ,1324953766 ,0 ,820857327,11265292426 ,9778297467 ,8593225247 ,1486994959 ,54168775909 ,49417225654 ,1967043763 ,0 ,57951971241 ,34959588443 ,10953178838 ,22992382798 ,13600000000 ,7482097094 ,0 
26,open,ulsan,127,20160531,237,general_hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,open,ulsan,127,19810622,526,general_hospital,124000000000 ,35743130029 ,91327949038 ,57788136980 ,1314452222 ,1570602979 ,896998857 ,137870752 ,3753817012,19014833155 ,18872481981 ,15862433 ,142351174 ,56557453510 ,45434143230 ,10085168680 ,0 ,74703721975 ,39373879374 ,10348327418 ,35329842601 ,13094314767 ,868564690 ,0 
33,open,seoul,3,19820329,181,general_hospital,15690699439 ,0 ,15690319472 ,8142441296 ,511215199 ,2474767666 ,319704982 ,0 ,1963172500,3712671845 ,3689155191 ,100333900 ,23516654 ,18108427179 ,16383766379 ,1666949800 ,0 ,18712566017 ,15422489774 ,8857822253 ,3290076243 ,0 ,3108533007 ,0 
34,open,incheon,138,20121231,243,general_hospital,38928596428 ,8449315118 ,28736229589 ,18880365145 ,237324276 ,1543529755 ,1042222917 ,39631614 ,397214628 ,22844745285 ,22361993468 ,4761274747 ,482751817 ,88445094022 ,85990066982 ,2422999400 ,0 ,52131881696 ,20477144584 ,8732077001 ,31654737112 ,26882166680 ,59157957611 ,922085940 
35,open,daejeon,49,20120103,291,nursing_hospital,6857075503 ,316104702 ,6011691943 ,2849657910 ,26235813 ,513877434 ,88591452 ,61504280 ,19867043,819400069 ,788366733 ,729715174 ,31033336 ,13166710760 ,13160549820 ,5000000 ,0 ,0 ,13160549820 ,8692294160 ,0 ,0 ,0 ,724226716 
36,open,seoul,77,19940622,195,general_hospital,22920991463 ,0 ,23161528038 ,10521716794 ,1619736486 ,1161622440 ,357708193 ,80621490 ,136955981 ,5808388270 ,5412264543 ,2150485227 ,396123727 ,16709736766 ,13949663315 ,2057226000 ,0 ,15436165283 ,13579003753 ,8642538015 ,1857161530 ,700000000 ,7081959753 ,5011010300 
37,open,daegu,44,20050926,167,hospital,17096005437 ,1148889637 ,15517999341 ,8231830104 ,22507591 ,474517882 ,472039090 ,0 ,22893832,2292087499 ,2225171415 ,72036 ,66916084 ,18698943512 ,15801073664 ,2897868848 ,0 ,16903461067 ,11346318961 ,8563500000 ,5557142106 ,555940000 ,4087569944 ,1008090000 
38,open,gyeonggi,96,20061013,346,general_hospital,67068990371 ,0 ,63496177471 ,29793955850 ,2592034969 ,5335543642 ,2841474870 ,324138415 ,505165812 ,19360618174 ,18244190311 ,183244162 ,1116427863 ,102000000000 ,96389173566 ,2114020000 ,0 ,86697249913 ,37895352593 ,8416499288 ,48801897320 ,41124897062 ,34804436455 ,10929718196 
39,open,seoul,119,19820421,48,hospital,9293955823 ,0 ,10980487018 ,5578216390 ,125260866 ,235115549 ,231104453 ,0 ,1796385878,1500644005 ,1358172426 ,0 ,142471579 ,8642146868 ,8475546868 ,0 ,0 ,7907162972 ,7260543588 ,6257142374 ,646619384 ,0 ,2235627901 ,6019553199 
42,open,daegu,43,20080128,252,hospital,13927661065 ,743799451 ,11624015409 ,7097650666 ,8217133 ,350522595 ,350522595 ,231296213 ,986244530 ,2615974636 ,2593840426 ,2515649444 ,22134210 ,21430590591 ,20987077212 ,462000 ,0 ,12098966480 ,10683568951 ,7729516293 ,1415397529 ,0 ,11947598747 ,0 
44,open,gyeongbuk,114,19961210,66,hospital,24074718560 ,6429351944 ,16603254922 ,11567304900 ,1508636487 ,2061558066 ,222096329 ,92501890 ,396688225 ,3683441982 ,3545415312 ,0 ,138026670 ,15044378768 ,14717396768 ,326982000 ,0 ,14812671115 ,11520604709 ,6825021917 ,3292066406 ,0 ,3915149635 ,0 
45,open,gyeongbuk,7,20040601,196,nursing_hospital,9096548420 ,0 ,8732286589 ,4287374108 ,33716293 ,286024540 ,268520208 ,18664150 ,93289434 ,1243335796 ,1146867994 ,0 ,82356623 ,9779431803 ,9635402159 ,32577000 ,0 ,10767212539 ,8132532886 ,6658527565 ,2634679653 ,1998560000 ,255555060 ,744444940
47,open,daegu,40,19971231,137,hospital,25388522198 ,5799018072 ,19474790132 ,12205737320 ,469549977 ,368301439 ,330071049 ,160871190 ,55091342 ,2332360925 ,2090377954 ,1254000 ,241982971 ,32782058193 ,32684163193 ,68895000 ,0 ,21839514233 ,12125402803 ,6408261456 ,9714111430 ,2596212250 ,13274904885 ,13752084380 
49,open,gyeongbuk,172,20030318,63,hospital,14802668835 ,1462372502 ,12946015815 ,8418942090 ,75897969 ,350360910 ,322501564 ,9915370 ,109902207 ,894536014 ,653358359 ,0 ,241177655 ,21451059510 ,21318451510 ,132608000 ,0 ,16639679773 ,8751511234 ,6106319856 ,7888168539 ,6064390000 ,5705915751 ,4179247927 
50,open,gangwon,128,20010821,149,hospital,58201450435 ,8002571377 ,48778584637 ,21839686580 ,418567384 ,383067082 ,296607165 ,578397450 ,877397273 ,6707079632 ,6015740971 ,14538250 ,691338661 ,36060444883 ,33911264854 ,793000000 ,0 ,32936293856 ,16022058091 ,6066075906 ,16914235765 ,5940000000 ,9831230659 ,26928 
51,open,seoul,23,20080225,406,nursing_hospital,16732825088 ,2568596158 ,12355081959 ,7040943933 ,40114330 ,375248502 ,343800103 ,299015472 ,1174997327 ,2852257400 ,2730376047 ,2531896852 ,121881353 ,37045300701 ,34814625429 ,0 ,0 ,31260502979 ,21212502979 ,5657072507 ,10000000000 ,8700000000 ,8637055122 ,0 
52,open,gyeonggi,96,20010202,0,traditional_clinic,13207438120 ,2301603808 ,10269216425 ,5671130470 ,15051797 ,314375353 ,172718176 ,68212895 ,269081436 ,2042506734 ,1914822836 ,0 ,127683898 ,8963332085 ,8097412639 ,61340600 ,0 ,6926195411 ,6901195411 ,5631111110 ,25000000 ,0 ,4079643408 ,0 
53,open,gyeonggi,97,20080930,78,nursing_hospital,6859738630 ,471712908 ,6693224258 ,3662477466 ,184397552 ,158090415 ,157639434 ,0 ,278891399,1028775130 ,943187548 ,20758790 ,85587582 ,10034376460 ,9530157739 ,346880000 ,0 ,8458883643 ,7244379105 ,5332648695 ,1214504538 ,0 ,2604267947 ,0 
55,open,incheon,141,19930708,232,general_hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,open,jeonnam,33,20040730,584,nursing_hospital,21793838320 ,904780292 ,18951985137 ,12781902660 ,610626714 ,1202445218 ,169551969 ,371350880 ,973903507 ,17696396607 ,17606214680 ,0 ,90181927 ,20178273850 ,19972987375 ,99300620 ,0 ,12276250672 ,6924378849 ,5000000000 ,5351871823 ,0 ,25598419785 ,0 
57,open,jeonnam,38,20080923,101,nursing_hospital,8809012224 ,0 ,8387238471 ,3412376547 ,24733405 ,306102348 ,274342243 ,11757920 ,128646890 ,983586111 ,812509700 ,240175801 ,171076411 ,15852064318 ,15622064318 ,230000000 ,0 ,8252415016 ,6167030552 ,4732030670 ,2085384464 ,2085384464 ,8583235413 ,0 
58,close,gyeonggi,168,20130206,132,nursing_hospital,2681765580 ,180200922 ,2014579640 ,936645110 ,59924069 ,428721218 ,284069476 ,0 ,118187869 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
59,open,choongnam,94,20140318,258,nursing_hospital,8546126935 ,0 ,6737509250 ,3830658980 ,6467580 ,539890179 ,513787982 ,0 ,1275195086 ,2887867418 ,2550065516 ,1843823564 ,337801902 ,20854146408 ,20546016366 ,263862900 ,0 ,11737791374 ,5531070657 ,4665480000 ,6206720717 ,5856720717 ,12004222452 ,6505224190 
60,open,gyeonggi,74,20031202,53,hospital,9945697033 ,2518533380 ,7838979629 ,4001863380 ,58259710 ,204524605 ,176306594 ,0 ,558080871,2308999637 ,2148142259 ,970975608 ,160857378 ,6430171867 ,6356611667 ,2060000 ,0 ,7054460794 ,6031625979 ,4664011450 ,1022834815 ,0 ,1684710710 ,0 
61,open,gyeonggi,24,20080402,164,hospital,6480419010 ,0 ,7611627015 ,4383683589 ,5905707 ,163905774 ,163868524 ,0 ,1289208072,1759257575 ,1759257575 ,0 ,0 ,7267490563 ,6917490563 ,350000000 ,0 ,6979032891 ,5699212493 ,4614380000 ,1279820398 ,0 ,2047715247 ,0 
62,open,gyeonggi,120,20050224,0,clinic,151000000000 ,98503322990 ,49547764666 ,3726935398 ,1407328026 ,2640421560 ,55331120 ,305400448 ,992483835 ,42808356695 ,41791456468 ,70588560 ,1016900227 ,26198928184 ,17262009402 ,5488177269 ,0 ,39545947657 ,29850842393 ,4600000000 ,9695105264 ,0 ,29461337222 ,43194221 
63,open,gyeongnam,5,20130409,206,general_hospital,20425771788 ,4133216227 ,14902797655 ,10796721206 ,263511030 ,1041124875 ,691712214 ,189294110 ,422849951 ,5021154737 ,4648822830 ,0 ,372331907 ,35966517012 ,34950096428 ,877111000 ,0 ,24367583508 ,9299760234 ,4579304677 ,15067823274 ,9630291360 ,16620088241 ,0 
65,open,gyeonggi,177,20110512,126,hospital,27912697687 ,2442931060 ,17957418899 ,7511234837 ,2224248 ,4010569368 ,67068540 ,794522148 ,2709480460 ,20282084651 ,20227834651 ,2823876231 ,54250000 ,28041839650 ,24488939650 ,3348500000 ,0 ,25693380103 ,14089898386 ,4531865427 ,11603481717 ,2833260000 ,22630544198 ,0 
67,open,gyeongnam,32,20081231,203,nursing_hospital,6898958895 ,367242573 ,6562792750 ,4054406320 ,19204746 ,178026082 ,164109704 ,0 ,189897764,3876992511 ,3856190100 ,519640803 ,20802411 ,10183155603 ,10157084802 ,20000000 ,0 ,11687971008 ,7717382706 ,4466074805 ,3970588302 ,3280000000 ,2372177106 ,0 
69,open,jeonbuk,146,20130405,244,nursing_hospital,7821761860 ,570611458 ,6535756355 ,4255071060 ,25358210 ,150306551 ,123776039 ,110617930 ,479827776 ,1937646633 ,1904418104 ,1162642246 ,33228529 ,10066923187 ,9705726687 ,361196500 ,0 ,5658750123 ,4569965408 ,4250000000 ,1088784715 ,0 ,6345819697 ,0 
70,open,gyeonggi,169,20030227,139,hospital,9864586051 ,1812608644 ,7638166747 ,4291169759 ,26998793 ,231404814 ,224230817 ,0 ,209404639 ,1628712781 ,1517296889 ,1123786007 ,111415892 ,9157833654 ,8876719660 ,109963000 ,0 ,9663114002 ,7791046199 ,4213450218 ,1872067803 ,1872067803 ,1123432433 ,0 
71,open,jeonnam,106,19880408,196,general_hospital,26649630072 ,6252852956 ,20306453789 ,11666631108 ,399644546 ,303852417 ,251559018 ,107505958 ,78609498 ,4517239853 ,4167397009 ,729383833 ,341249150 ,16468265301 ,16313545641 ,0 ,0 ,12335548150 ,7380578150 ,4164731812 ,4954970000 ,4803970000 ,8649957004 ,0 
72,open,daegu,41,20070903,277,nursing_hospital,5662108342 ,504715781 ,4888397798 ,3248961978 ,48982266 ,127371257 ,127358463 ,17622700 ,172983072 ,1517867972 ,1492894239 ,661883804 ,24973733 ,8637470906 ,8256788765 ,183950000 ,0 ,5065088399 ,5065088399 ,4104923980 ,0 ,0 ,5090250479 ,1237935879 
73,open,daegu,44,20060818,166,hospital,12672510066 ,1319791505 ,11298752426 ,6514154575 ,0 ,16039299 ,0 ,0 ,37926836 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
74,open,seoul,1,19940425,28,traditional_hospital,8872426915 ,964124895 ,7638919868 ,4488957824 ,19153521 ,216088892 ,204479315 ,72446781 ,0 ,1302114675 ,1186742960 ,2671059 ,97648359 ,8347311458 ,8178953358 ,2200500 ,0 ,6749131935 ,5759131935 ,4000000000 ,990000000 ,990000000 ,2900294198 ,0 
75,open,gyeongbuk,30,19980529,249,general_hospital,40485538992 ,0 ,38155097034 ,19365828922 ,2708324415 ,4972290235 ,331974734 ,24702819 ,41773319 ,7146109670 ,6312031337 ,4738034539 ,834078333 ,31591780617 ,29580149787 ,1620463850 ,0 ,31743390761 ,13879186020 ,4000000000 ,17864204741 ,4816590787 ,6994499526 ,4605417526 
77,open,gyeongbuk,84,20070813,199,nursing_hospital,8520319018 ,489603680 ,7518263612 ,4598249389 ,20648206 ,409327374 ,177681043 ,0 ,123772558 ,837642749 ,799803379 ,749930732 ,37839370 ,7361808382 ,7244449230 ,81497820 ,0 ,6438049294 ,5183049294 ,3991000660 ,1260000000 ,205000000 ,1761401837 ,665969467 
81,open,seoul,87,19980605,57,hospital,14717584270 ,0 ,13908695044 ,7926864654 ,49816088 ,764745600 ,720643772 ,24921279 ,69038435 ,3554141428 ,3343728987 ,166530 ,210412441 ,30433299811 ,29958304591 ,164383540 ,0 ,23326685163 ,8579119711 ,3849453470 ,14747565452 ,14536911032 ,10660756076 ,437898144
82,open,gyeongnam,32,20091231,148,nursing_hospital,3957464500 ,156035904 ,3360237640 ,2273718273 ,0 ,0 ,169068842 ,0 ,441190956 ,1404529812 ,1401889812 ,1361721970 ,2640000 ,6787707000 ,6752177000 ,35530000 ,0 ,5415331190 ,5415331190 ,3815750000 ,0 ,0 ,2776905622 ,0 
83,open,jeonnam,56,20000929,114,hospital,15060003766 ,0 ,15074264045 ,8253147137 ,270096627 ,203222162 ,199592678 ,3654150 ,48960036 ,2086486219 ,1807214804 ,1538642198 ,279271415 ,12230093732 ,12217443732 ,12650000 ,0 ,7879246664 ,6826395749 ,3790000000 ,1052850915 ,618359290 ,6437333287 ,0 
84,open,gyeonggi,88,20080702,214,nursing_hospital,11244193296 ,0 ,11208509517 ,5154797587 ,11631594 ,323712539 ,323712539 ,0 ,276397166,3977699376 ,3903311705 ,2249237370 ,74387671 ,19793004043 ,19763004043 ,30000000 ,0 ,13071062162 ,9092238986 ,3750000000 ,3978823176 ,2984710000 ,10699641257 ,1832358743
87,open,gyeonggi,120,20130314,327,nursing_hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,open,gyeongbuk,114,20070907,178,nursing_hospital,4191769346 ,136016332 ,3857345612 ,1834455208 ,846230 ,739267544 ,182699934 ,0 ,540013912,1013757844 ,991673174 ,12610000 ,15967710 ,8723965989 ,8402711508 ,165000000 ,0 ,8803424995 ,3803424995 ,3431174794 ,5000000000 ,4700000000 ,934298838 ,0 
91,open,daegu,40,20080201,181,hospital,12567340850 ,1240875020 ,10386665883 ,4830903110 ,53903404 ,178144816 ,146768216 ,151376981 ,664181554 ,2154333443 ,2124356127 ,1339153640 ,29977316 ,9180002212 ,8435943552 ,474058660 ,0 ,5363246293 ,4718029943 ,3396783530 ,645216350 ,420000000 ,5971089362 ,2791112674 
92,open,busan,71,20170607,44,nursing_hospital,10332879273 ,4075620142 ,6000945161 ,3096380690 ,71250013 ,282249363 ,282249363 ,0 ,45314620 ,3099111191 ,3011335378 ,107685180 ,87775813 ,8631662392 ,6584465333 ,1624413700 ,0 ,9415585411 ,5156554423 ,3146525443 ,4259030988 ,4259030988 ,2315188172 ,450242092 
93,open,busan,64,19930807,0,nursing_hospital,9351426263 ,723786841 ,8059646319 ,4910779768 ,62323554 ,467693492 ,467191632 ,0 ,162623165 ,1961000465 ,1926763807 ,1692425170 ,34236658 ,14757453626 ,14600170271 ,26389900 ,0 ,12048841912 ,5248841912 ,3126127540 ,6800000000 ,6800000000 ,4669612179 ,0 
94,open,gangwon,128,20031201,244,nursing_hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,open,gyeonggi,133,19831111,92,hospital,26700482717 ,0 ,26416691358 ,13556961110 ,220478473 ,219045847 ,112061304 ,87606027 ,197617958 ,3878035155 ,3577496317 ,33066 ,300538838 ,18418911014 ,18062684554 ,0 ,0 ,15418002426 ,6360100193 ,3000000000 ,9057902233 ,0 ,6878943743 ,0 
96,open,busan,64,20170602,128,nursing_hospital,523640550 ,23067726 ,835577490 ,564463637 ,7534205 ,52630597 ,52630597 ,0 ,380101058,607366165 ,595391402 ,1015000 ,11974763 ,3629703850 ,3629703850 ,0 ,0 ,3513950273 ,3342068583 ,2918153230 ,171881690 ,171881690 ,723119742 ,723119742 
97,open,incheon,141,20100402,50,hospital,2089793782 ,81928186 ,2303371410 ,1390205928 ,8299316 ,293352238 ,186562547 ,0 ,580558736,1484001044 ,1473800649 ,784174565 ,10200395 ,4812822788 ,4408411872 ,357370000 ,0 ,3647547073 ,3307047073 ,2915000001 ,340500000 ,235500000 ,2649276759 ,0 
98,open,ulsan,123,20140717,172,nursing_hospital,5338937478 ,1498712671 ,3296498121 ,1695917464 ,7942060 ,122534759 ,105166560 ,35099630 ,394034357 ,1287015412 ,1277169133 ,625719777 ,9846279 ,5599396982 ,5549396982 ,50000000 ,0 ,4469770631 ,3811091234 ,2910000000 ,658679397 ,0 ,2416641763 ,0 
99,open,seoul,83,19880115,63,hospital,10281606016 ,2270407008 ,8751409643 ,4798388897 ,330538133 ,129910642 ,88722194 ,0 ,539583144,6632275493 ,6601634625 ,1421173019 ,30640868 ,12148852090 ,10411926114 ,1072095460 ,0 ,5929452964 ,4877551408 ,2890000000 ,1051901556 ,0 ,12851674619 ,0 
100,open,daegu,40,19990701,80,hospital,4525975868 ,308186399 ,4468341830 ,2189473430 ,375868942 ,99977874 ,56733323 ,17422060 ,7916647 ,453610063 ,436188645 ,246233890 ,17421418 ,9829403534 ,8998862223 ,9208000 ,0 ,7047394204 ,3215745735 ,2858180271 ,3831648469 ,2000000000 ,3235619393 ,1971151763 
101,open,choongnam,37,19820504,341,general_hospital,52626386641 ,19326736791 ,32214235859 ,20975361934 ,460491652 ,1344136667 ,674455772 ,140061506 ,61707470 ,5291376056 ,4981494400 ,123296146 ,309881656 ,18393326086 ,18236396086 ,156930000 ,0 ,17279339510 ,9252158138 ,2840000000 ,8027181372 ,6393198470 ,6405362632 ,3640579089 
104,open,gyeonggi,80,20120518,0,clinic,2600028478 ,214725510 ,2483782477 ,1095680958 ,2805112 ,82605287 ,80922413 ,4380801 ,182660485,458798457 ,456218457 ,173719627 ,2580000 ,5558842539 ,5170827369 ,111538580 ,0 ,4331665718 ,3945956569 ,2620000000 ,385709149 ,0 ,1685975278 ,76602878 
105,open,gyeongnam,75,19850525,43,hospital,11981170391 ,2118265469 ,9972941734 ,7180585290 ,7021881 ,620999659 ,501785283 ,0 ,724014590,2662810730 ,2629393152 ,0 ,33417578 ,15348905147 ,14809308430 ,0 ,0 ,15730836450 ,5090592412 ,2597800071 ,10640244038 ,9380244038 ,2280879427 ,0 
106,open,jeonbuk,26,20030710,182,nursing_hospital,4131857876 ,143611800 ,3529097014 ,2198043355 ,56630198 ,228194537 ,113598011 ,22221340 ,265363383 ,1970952253 ,1963786853 ,0 ,7165400 ,3553690709 ,2749986147 ,527179060 ,0 ,2803885092 ,2793826477 ,2590000000 ,10058615 ,0 ,2720757870 ,0 
107,close,jeonbuk,26,19990805,NA,traditional_hospital,4131857876 ,143611800 ,3529097014 ,2198043355 ,56630198 ,228194537 ,113598011 ,22221340 ,265363383 ,1970952253 ,1963786853 ,0 ,7165400 ,3553690709 ,2749986147 ,527179060 ,0 ,2803885092 ,2793826477 ,2590000000 ,10058615 ,0 ,2720757870 ,0 
108,open,jeonbuk,26,20141223,150,nursing_hospital,2779983400 ,99198923 ,2492878526 ,1753765469 ,21915577 ,16503332 ,1041483 ,0 ,193318196 ,356233719 ,337601968 ,277795141 ,18631751 ,2047082065 ,2047082065 ,0 ,0 ,854711207 ,834233939 ,100000000 ,20477268 ,20477268 ,1548604577 ,1548604577 
109,open,seoul,79,20120501,0,dental_clinic,15472543033 ,9405840570 ,5046172942 ,2268689456 ,42491802 ,403788486 ,398976016 ,425828 ,658807009 ,5788889613 ,5605380360 ,3977685248 ,183509253 ,13438186014 ,12751732448 ,464715970 ,0 ,12805430556 ,5953852404 ,2550000000 ,6851578152 ,6851578152 ,6421645071 ,0 
110,open,gyeonggi,121,20161212,44,nursing_hospital,1327195400 ,166222201 ,1508852866 ,922694934 ,1423463 ,79881208 ,78679546 ,0 ,426337412,219419348 ,155957598 ,118702089 ,63461750 ,5323411259 ,5304170259 ,19241000 ,0 ,2993869156 ,2993869156 ,2480000000 ,0 ,0 ,2548961451 ,544038549
112,open,daejeon,49,20070807,132,nursing_hospital,15070077600 ,0 ,10026744651 ,8254975729 ,217378678 ,1573829241 ,222787238 ,163215150 ,3523667236 ,3471877338 ,3403546818 ,1712145390 ,68330520 ,27559226350 ,27485444816 ,0 ,0 ,15555678536 ,3904864429 ,2434421224 ,11650814107 ,5636250000 ,15475425152 ,3563084070 
113,open,gyeonggi,98,20010731,55,hospital,7159764865 ,832825694 ,6627242639 ,3395363456 ,61155355 ,160888732 ,125918455 ,0 ,400036845,1195640375 ,1151504910 ,779656103 ,44135465 ,3980481498 ,3219379298 ,761102200 ,0 ,3974333153 ,3974333153 ,2426320000 ,0 ,0 ,1201788720 ,0 
115,open,incheon,139,20160905,162,nursing_hospital,0 ,265274943 ,3842204420 ,2421379210 ,5907393 ,571739774 ,568306683 ,0 ,4673311744,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
116,open,gyeongnam,101,19960513,243,general_hospital,24790401182 ,5253050023 ,20489861383 ,13945216575 ,657929005 ,171427187 ,109311923 ,0 ,466008406,4857281921 ,4668454383 ,73851592 ,188827538 ,13740224185 ,13334145359 ,0 ,0 ,11766846773 ,10297013472 ,2400000000 ,1469833301 ,150000000 ,6830659333 ,3505169993 
118,open,gyeongbuk,114,20080530,163,hospital,5584965180 ,212104749 ,5455168717 ,3135278630 ,58981497 ,145958141 ,110144833 ,0 ,169284930,1972583861 ,1949123439 ,0 ,23460422 ,2654685142 ,2451661725 ,47000000 ,0 ,3531760444 ,2941760444 ,2301543647 ,590000000 ,590000000 ,1095508559 ,0 
119,open,gyeonggi,97,20061206,30,nursing_hospital,6017543490 ,199965460 ,5519678118 ,3215997040 ,74068997 ,58518818 ,29253542 ,48853470 ,264596621 ,2860018082 ,2850313557 ,811037296 ,9704525 ,6621404275 ,6453724275 ,167680000 ,0 ,4141693250 ,2563562206 ,2290219715 ,1578131044 ,0 ,5339729107 ,1829240804 
